"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","741","testPriceSortingHighToLowAndSauceCount","Surefire suite","Sun Jun 08 23:40:54 IST 2025","passed","Sun Jun 08 23:40:55 IST 2025","tests.SortingTest","Surefire test","tests.SortingTest","testPriceSortingHighToLowAndSauceCount"
"Ensure that user can login using standard_user credentials and see inventory items.","819","Verify valid login functionality","Surefire suite","Mon Jun 09 00:18:06 IST 2025","passed","Mon Jun 09 00:18:07 IST 2025","tests.LoginTest","Surefire test","tests.LoginTest","testValidLogin"
"","261","testSearchKeyword","Surefire suite","Sun Jun 08 23:40:13 IST 2025","passed","Sun Jun 08 23:40:13 IST 2025","tests.ProductSearchTest","Surefire test","tests.ProductSearchTest","testSearchKeyword"
"","797","Verify the complete checkout process","Surefire suite","Sun Jun 08 23:39:19 IST 2025","failed","Sun Jun 08 23:39:20 IST 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","testFullCheckoutFlow"
